Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
11:01:42,"0,000","50,60","29,188"
11:01:43,"0,093","5,80","29,188"
11:01:44,"0,094","5,00","29,188"
11:01:45,"0,095","19,00","29,188"
11:01:46,"0,096","7,60","29,188"
11:01:47,"0,098","13,80","29,188"
11:01:48,"0,099","7,50","29,188"
11:01:49,"0,100","5,20","29,188"
11:01:50,"0,101","4,30","29,188"
11:01:51,"0,103","5,40","29,188"
11:01:52,"0,104","10,40","29,188"
11:01:53,"0,105","11,10","29,188"
11:01:54,"0,107","7,70","29,188"
11:01:55,"0,108","3,50","29,188"
11:01:56,"0,109","5,90","29,188"
11:01:57,"0,110","0,00","29,188"
11:01:58,"0,112","4,10","29,188"
11:01:59,"0,114","3,00","29,188"
11:02:00,"0,115","4,70","29,188"
11:02:01,"0,116","6,60","29,188"
11:02:02,"0,118","4,70","29,188"
11:02:03,"0,119","5,20","29,188"
11:02:04,"0,120","3,30","29,188"
11:02:05,"0,122","3,60","29,188"
11:02:06,"0,123","3,20","28,642"
11:02:07,"0,124","0,00","29,188"
11:02:08,"0,125","0,00","29,188"
11:02:09,"0,126","0,00","29,188"
11:02:10,"0,128","5,00","28,642"
11:02:11,"0,129","3,50","29,188"
11:02:12,"0,130","3,50","29,188"
11:02:13,"0,132","3,80","29,188"
11:02:14,"0,133","4,70","29,188"
11:02:15,"0,134","8,90","29,188"
11:02:16,"0,136","12,60","29,188"
11:02:17,"0,137","6,70","29,188"
11:02:18,"0,138","13,70","29,188"
11:02:19,"0,140","5,10","29,188"
11:02:20,"0,141","4,00","29,188"
11:02:21,"0,142","3,10","29,188"
11:02:22,"0,143","4,10","29,188"
11:02:23,"0,145","8,30","29,188"
11:02:24,"0,146","4,30","29,188"
11:02:25,"0,147","6,20","29,188"
11:02:26,"0,148","3,70","29,188"
11:02:27,"0,150","3,80","29,188"
11:02:28,"0,151","3,40","29,188"
11:02:29,"0,152","0,00","29,188"
11:02:30,"0,154","6,20","29,188"
11:02:31,"0,155","0,00","29,188"
11:02:32,"0,156","2,40","29,188"
11:02:33,"0,157","11,90","29,188"
11:02:34,"0,159","4,10","29,188"
11:02:35,"0,160","7,70","29,188"
11:02:36,"0,161","5,70","29,188"
11:02:37,"0,162","3,40","29,188"
11:02:38,"0,164","5,80","29,188"
11:02:39,"0,165","5,20","29,188"
11:02:40,"0,167","6,60","29,188"
11:02:41,"0,168","3,80","29,188"
11:02:42,"0,170","5,90","29,188"
11:02:43,"0,171","3,10","29,188"
11:02:44,"0,173","5,00","29,188"
11:02:45,"0,174","9,20","28,750"
11:02:46,"0,176","7,60","28,750"
11:02:47,"0,177","0,00","28,750"
11:02:48,"0,179","0,00","28,750"
11:02:49,"0,180","0,00","28,750"
11:02:50,"0,182","4,10","28,750"
11:02:51,"0,183","0,00","28,750"
11:02:52,"0,185","6,30","28,750"
11:02:53,"0,186","0,00","28,750"
11:02:54,"0,187","3,50","28,750"
11:02:55,"0,189","2,70","28,750"
11:02:56,"0,190","1,70","28,750"
11:02:57,"0,192","0,00","28,750"
11:02:58,"0,193","0,00","28,750"
11:02:59,"0,195","0,00","28,750"
11:03:00,"0,196","1,90","28,750"
11:03:01,"0,198","2,80","28,750"
11:03:02,"0,199","5,90","28,750"
11:03:03,"0,200","1,70","28,750"
11:03:04,"0,202","8,80","28,750"
11:03:05,"0,203","4,50","28,750"
11:03:06,"0,205","6,00","28,750"
11:03:07,"0,206","0,00","28,750"
11:03:08,"0,207","4,20","28,750"
11:03:09,"0,209","0,00","28,750"
11:03:10,"0,210","13,60","28,750"
