Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
09:47:46,"0,000","3,80","26,309"
09:47:47,"0,002","5,80","26,855"
09:47:48,"0,003","2,90","26,855"
09:47:48,"0,004","0,00","26,855"
09:47:49,"0,006","4,00","26,855"
09:47:50,"0,007","5,10","26,855"
09:47:51,"0,009","4,10","26,855"
09:47:52,"0,010","6,60","26,855"
09:47:53,"0,012","2,80","26,855"
09:47:54,"0,013","6,00","26,855"
09:47:55,"0,014","5,80","26,855"
09:47:56,"0,016","7,00","26,855"
09:47:57,"0,017","2,40","26,855"
09:47:58,"0,019","6,80","26,855"
09:47:59,"0,020","3,10","26,855"
09:48:00,"0,022","3,70","26,855"
09:48:01,"0,024","0,00","26,855"
09:48:02,"0,025","0,00","26,855"
09:48:03,"0,027","0,00","26,855"
09:48:04,"0,028","4,60","26,855"
09:48:05,"0,030","0,00","26,855"
09:48:06,"0,031","4,50","26,855"
09:48:07,"0,033","6,60","26,855"
09:48:08,"0,034","6,20","26,855"
09:48:10,"0,035","3,10","26,855"
09:48:11,"0,037","3,30","26,855"
09:48:11,"0,038","3,70","26,855"
09:48:13,"0,040","5,90","26,855"
09:48:14,"0,041","0,00","26,855"
09:48:15,"0,043","4,50","26,855"
09:48:16,"0,044","4,80","26,855"
09:48:17,"0,046","3,30","26,855"
09:48:18,"0,047","3,70","26,855"
09:48:19,"0,049","2,80","26,855"
09:48:20,"0,050","5,50","26,855"
09:48:21,"0,052","6,80","26,855"
09:48:22,"0,053","0,00","26,855"
09:48:23,"0,054","6,20","26,855"
09:48:24,"0,056","4,00","26,855"
09:48:25,"0,057","0,00","26,855"
09:48:26,"0,059","2,90","26,855"
09:48:27,"0,060","4,70","26,855"
09:48:28,"0,062","7,60","26,855"
09:48:29,"0,063","6,80","26,855"
09:48:30,"0,064","5,20","26,855"
09:48:31,"0,066","9,00","26,855"
09:48:32,"0,067","2,50","26,855"
09:48:32,"0,069","0,00","26,855"
09:48:33,"0,070","0,00","26,855"
09:48:34,"0,072","0,00","26,855"
09:48:35,"0,073","3,50","26,855"
09:48:36,"0,074","0,00","26,855"
09:48:37,"0,076","3,20","26,855"
09:48:38,"0,077","0,00","26,855"
09:48:39,"0,078","0,00","26,855"
09:48:40,"0,079","0,00","26,855"
09:48:41,"0,081","0,00","26,855"
09:48:43,"0,082","4,30","26,855"
09:48:43,"0,083","0,00","26,855"
09:48:44,"0,085","0,00","26,855"
09:48:45,"0,086","0,00","26,855"
09:48:46,"0,087","0,00","26,855"
09:48:47,"0,088","0,00","26,855"
09:48:48,"0,089","0,00","26,855"
09:48:49,"0,091","0,00","26,855"
09:48:50,"0,092","0,00","26,855"
09:48:51,"0,093","0,00","26,855"
09:48:52,"0,095","2,60","26,855"
09:48:53,"0,096","0,00","26,855"
09:48:54,"0,098","0,00","26,855"
