Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
11:21:16,"0,000","22,20","29,035"
11:21:17,"0,183","1,50","28,723"
11:21:18,"0,187","2,80","28,723"
11:21:19,"0,192","4,20","28,723"
11:21:20,"0,197","0,00","28,723"
11:21:21,"0,201","0,00","28,177"
11:21:22,"0,206","0,00","28,723"
11:21:23,"0,210","0,00","28,723"
11:21:24,"0,215","0,00","28,723"
11:21:25,"0,220","0,00","28,566"
11:21:26,"0,224","0,00","28,566"
11:21:27,"0,229","0,00","28,566"
11:21:28,"0,234","0,00","28,566"
11:21:29,"0,239","0,00","28,723"
11:21:30,"0,243","0,00","28,723"
11:21:31,"0,248","8,30","28,723"
11:21:32,"0,253","9,00","28,629"
11:21:33,"0,258","4,10","28,629"
11:21:34,"0,263","12,20","28,629"
11:21:35,"0,267","5,50","28,629"
11:21:36,"0,272","0,00","28,629"
11:21:37,"0,277","0,00","28,629"
11:21:38,"0,282","0,00","28,629"
11:21:39,"0,286","0,00","28,629"
11:21:40,"0,291","0,00","28,629"
11:21:41,"0,296","4,90","28,629"
11:21:42,"0,300","6,60","28,629"
11:21:43,"0,305","3,70","28,629"
11:21:44,"0,309","0,00","28,629"
11:21:45,"0,314","5,90","28,629"
11:21:46,"0,318","3,90","28,629"
11:21:47,"0,323","0,00","28,629"
11:21:48,"0,327","0,00","28,629"
11:21:49,"0,332","4,80","28,629"
11:21:50,"0,336","12,50","28,629"
11:21:51,"0,340","7,60","28,629"
11:21:52,"0,345","8,00","28,629"
11:21:53,"0,350","6,70","28,629"
11:21:54,"0,355","7,10","28,629"
11:21:55,"0,359","5,20","28,629"
11:21:56,"0,363","9,50","28,629"
11:21:57,"0,368","8,30","28,629"
11:21:58,"0,372","8,40","28,629"
11:21:59,"0,377","4,00","28,629"
11:22:00,"0,381","3,70","28,629"
11:22:01,"0,386","0,00","28,629"
11:22:02,"0,392","0,00","28,473"
11:22:03,"0,397","0,00","28,473"
11:22:04,"0,401","0,00","28,083"
11:22:05,"0,406","2,30","28,629"
11:22:06,"0,410","0,00","28,629"
11:22:07,"0,415","0,00","28,629"
11:22:08,"0,419","0,00","28,473"
11:22:09,"0,424","0,00","28,473"
11:22:10,"0,429","0,00","28,473"
11:22:11,"0,433","2,30","28,473"
11:22:12,"0,438","0,00","28,473"
11:22:13,"0,442","0,00","28,473"
11:22:14,"0,447","4,00","28,473"
11:22:15,"0,451","0,00","28,473"
11:22:16,"0,456","0,00","28,473"
11:22:17,"0,461","0,00","28,473"
11:22:18,"0,465","2,30","28,473"
11:22:19,"0,470","0,00","28,473"
11:22:20,"0,474","0,00","28,473"
11:22:21,"0,479","0,00","28,473"
11:22:22,"0,483","2,70","28,473"
11:22:23,"0,488","0,00","28,473"
11:22:24,"0,493","0,00","28,473"
11:22:25,"0,497","0,00","28,473"
11:22:26,"0,502","0,00","28,473"
11:22:27,"0,506","2,70","28,473"
11:22:28,"0,511","0,00","28,473"
11:22:29,"0,516","0,00","28,473"
11:22:30,"0,521","0,00","28,473"
11:22:31,"0,525","0,00","28,473"
11:22:32,"0,530","0,00","28,473"
11:22:33,"0,535","0,00","28,473"
11:22:34,"0,540","0,00","28,473"
11:22:35,"0,545","1,00","28,473"
11:22:36,"0,549","0,00","28,473"
11:22:37,"0,554","0,00","28,473"
11:22:38,"0,558","0,00","28,473"
11:22:39,"0,563","0,00","28,629"
11:22:40,"0,567","4,10","28,629"
11:22:41,"0,572","0,00","28,473"
11:22:42,"0,577","0,00","28,629"
11:22:43,"0,582","3,40","28,629"
11:22:44,"0,586","0,00","28,473"
11:22:45,"0,591","0,00","28,083"
11:22:46,"0,596","0,00","28,083"
11:22:47,"0,601","0,00","28,629"
11:22:48,"0,605","0,00","28,473"
11:22:49,"0,610","0,00","28,473"
11:22:50,"0,614","1,20","28,473"
11:22:51,"0,619","4,80","28,473"
11:22:52,"0,623","6,50","28,473"
11:22:53,"0,628","3,50","28,473"
11:22:54,"0,632","2,70","28,473"
11:22:55,"0,637","8,70","28,473"
11:22:56,"0,641","15,60","28,473"
11:22:57,"0,646","14,20","28,473"
11:22:58,"0,650","12,20","28,473"
11:22:59,"0,655","8,10","28,473"
11:23:00,"0,660","0,00","28,473"
11:23:01,"0,664","0,00","28,473"
11:23:02,"0,669","3,20","28,473"
11:23:03,"0,673","0,00","28,473"
11:23:04,"0,678","0,00","28,473"
11:23:05,"0,682","3,50","28,473"
11:23:06,"0,687","0,00","28,473"
11:23:07,"0,691","4,40","28,473"
11:23:08,"0,696","0,00","28,473"
11:23:09,"0,701","0,00","28,473"
11:23:10,"0,705","0,00","28,473"
11:23:11,"0,710","0,00","28,473"
11:23:12,"0,712","3,30","28,629"
11:23:13,"0,720","0,00","28,473"
11:23:14,"0,727","0,00","28,629"
11:23:15,"0,732","2,00","28,473"
11:23:16,"0,735","0,00","28,473"
11:23:17,"0,739","0,00","28,473"
11:23:18,"0,744","3,60","28,473"
11:23:19,"0,748","1,10","28,473"
11:23:20,"0,753","0,00","28,473"
11:23:21,"0,757","0,00","28,473"
11:23:22,"0,762","4,40","28,473"
11:23:23,"0,766","8,00","28,504"
11:23:24,"0,771","12,40","28,473"
11:23:25,"0,775","12,20","28,473"
11:23:26,"0,780","13,60","28,473"
11:23:27,"0,785","11,10","28,473"
11:23:28,"0,789","10,30","28,473"
11:23:29,"0,794","8,00","28,504"
11:23:30,"0,799","0,00","28,504"
11:23:31,"0,804","0,00","28,504"
11:23:32,"0,808","2,40","28,504"
11:23:33,"0,813","0,00","28,504"
11:23:34,"0,818","2,50","28,629"
11:23:35,"0,822","0,00","28,629"
11:23:36,"0,827","0,00","28,629"
11:23:37,"0,832","1,80","28,629"
11:23:38,"0,836","0,00","28,629"
11:23:39,"0,841","3,30","28,629"
11:23:40,"0,844","2,30","28,629"
11:23:41,"0,849","5,80","28,629"
11:23:42,"0,854","8,90","28,629"
11:23:43,"0,858","5,00","28,629"
11:23:44,"0,863","7,10","28,629"
11:23:44,"0,867","6,60","28,629"
11:23:46,"0,872","7,40","28,629"
11:23:47,"0,876","0,00","28,473"
11:23:48,"0,882","8,30","28,629"
11:23:49,"0,887","12,50","28,629"
11:23:50,"0,891","0,00","28,629"
11:23:51,"0,896","4,50","28,629"
11:23:52,"0,900","4,70","28,629"
11:23:53,"0,906","6,60","28,629"
11:23:54,"0,910","6,60","28,629"
11:23:55,"0,915","7,10","28,629"
11:23:56,"0,919","5,70","28,629"
11:23:57,"0,924","0,00","28,629"
11:23:58,"0,928","7,60","28,629"
11:23:59,"0,933","3,40","28,629"
11:24:00,"0,938","2,60","28,629"
11:24:01,"0,942","13,30","28,629"
11:24:02,"0,948","8,60","28,629"
11:24:03,"0,953","8,00","28,629"
11:24:04,"0,958","6,80","28,629"
11:24:05,"0,962","2,80","28,629"
11:24:06,"0,967","0,00","28,629"
11:24:06,"0,972","0,00","28,083"
11:24:07,"0,977","2,40","28,473"
11:24:08,"0,981","3,40","28,083"
11:24:09,"0,986","1,00","28,473"
11:24:10,"0,990","2,00","28,473"
11:24:11,"0,995","4,40","28,473"
11:24:12,"1,000","4,50","28,473"
11:24:13,"1,004","0,00","28,473"
11:24:14,"1,009","0,00","28,473"
11:24:15,"1,013","0,00","28,473"
11:24:16,"1,018","2,70","28,473"
11:24:17,"1,023","4,50","28,473"
11:24:18,"1,027","6,00","28,473"
11:24:19,"1,032","1,20","28,473"
11:24:20,"1,036","8,40","28,473"
11:24:21,"1,041","12,30","28,473"
11:24:22,"1,046","4,20","28,083"
11:24:23,"1,051","0,00","28,473"
11:24:24,"1,055","0,00","28,473"
11:24:25,"1,061","0,00","28,473"
11:24:26,"1,065","4,50","28,473"
11:24:27,"1,072","11,40","28,629"
11:24:29,"1,076","9,50","28,629"
11:24:30,"1,081","4,50","28,629"
11:24:31,"1,086","0,00","28,083"
11:24:32,"1,091","4,10","28,473"
11:24:33,"1,096","0,00","28,083"
11:24:34,"1,101","0,00","28,629"
11:24:35,"1,106","0,00","28,629"
11:24:35,"1,110","0,00","28,629"
11:24:36,"1,115","0,00","28,473"
11:24:37,"1,120","0,00","28,473"
11:24:38,"1,124","0,00","28,473"
11:24:39,"1,129","3,50","28,473"
11:24:40,"1,134","4,80","28,473"
11:24:41,"1,139","9,80","28,473"
11:24:42,"1,143","13,50","28,473"
11:24:43,"1,148","8,00","28,473"
11:24:44,"1,153","2,30","28,473"
11:24:45,"1,158","5,40","28,473"
11:24:46,"1,162","2,30","28,473"
11:24:47,"1,167","0,00","28,473"
11:24:48,"1,171","0,00","28,473"
11:24:49,"1,175","2,20","28,473"
11:24:50,"1,180","0,00","28,473"
11:24:51,"1,185","0,00","28,473"
11:24:52,"1,190","0,00","28,473"
11:24:53,"1,195","0,00","28,473"
11:24:54,"1,200","0,00","28,473"
11:24:55,"1,204","3,40","28,473"
11:24:56,"1,208","3,60","28,473"
11:24:57,"1,213","8,50","28,473"
11:24:58,"1,217","6,40","28,473"
11:24:59,"1,222","0,00","28,473"
11:25:00,"1,227","0,00","28,473"
11:25:01,"1,232","0,00","28,473"
11:25:02,"1,236","3,00","28,473"
11:25:03,"1,241","2,90","28,473"
11:25:04,"1,245","4,50","28,473"
11:25:05,"1,250","6,80","28,473"
11:25:06,"1,255","7,80","28,473"
11:25:07,"1,259","9,00","28,473"
11:25:08,"1,264","12,00","28,504"
11:25:09,"1,266","4,50","28,504"
11:25:10,"1,271","6,80","28,504"
11:25:11,"1,278","1,30","28,504"
11:25:12,"1,282","0,00","28,504"
11:25:13,"1,287","0,00","28,504"
11:25:14,"1,291","0,00","28,504"
11:25:15,"1,296","0,00","28,504"
11:25:16,"1,300","0,00","28,473"
11:25:17,"1,305","0,00","28,504"
11:25:18,"1,310","6,50","28,504"
11:25:19,"1,312","8,90","28,504"
11:25:20,"1,317","5,40","28,629"
11:25:21,"1,321","2,80","28,629"
11:25:22,"1,327","35,60","28,629"
11:25:23,"1,332","7,40","28,629"
11:25:24,"1,336","0,00","28,629"
11:25:25,"1,339","4,30","28,629"
11:25:26,"1,343","3,30","28,629"
11:25:27,"1,347","3,20","28,629"
11:25:28,"1,352","5,40","28,629"
11:25:29,"1,357","9,30","28,629"
11:25:30,"1,361","11,10","28,629"
11:25:31,"1,366","5,70","28,629"
11:25:32,"1,370","9,00","28,629"
11:25:33,"1,375","4,50","28,473"
11:25:34,"1,381","15,40","28,083"
11:25:35,"1,385","13,20","28,473"
11:25:36,"1,390","0,00","28,629"
11:25:37,"1,394","3,10","28,629"
11:25:38,"1,399","0,00","28,629"
11:25:39,"1,403","0,00","28,629"
11:25:40,"1,408","1,50","28,473"
11:25:41,"1,413","0,00","28,629"
11:25:42,"1,418","0,00","28,473"
11:25:43,"1,422","0,00","28,473"
11:25:44,"1,428","0,00","28,473"
11:25:45,"1,433","3,00","28,473"
11:25:46,"1,439","8,70","28,473"
11:25:47,"1,443","0,00","28,473"
11:25:48,"1,448","0,00","28,473"
11:25:49,"1,452","0,00","28,473"
11:25:50,"1,457","4,20","28,473"
11:25:50,"1,461","3,50","28,473"
11:25:51,"1,466","2,00","28,473"
11:25:52,"1,470","4,50","28,473"
11:25:53,"1,474","4,50","28,473"
11:25:54,"1,479","6,80","28,473"
11:25:55,"1,484","0,00","28,473"
11:25:56,"1,488","0,00","28,473"
11:25:57,"1,493","0,00","28,473"
11:25:58,"1,497","2,50","28,473"
11:25:59,"1,502","4,50","28,473"
11:26:00,"1,507","7,60","28,473"
11:26:01,"1,512","0,00","28,473"
11:26:02,"1,517","1,20","28,473"
11:26:03,"1,522","5,50","28,473"
11:26:04,"1,526","6,00","28,473"
11:26:05,"1,530","5,10","28,473"
11:26:06,"1,535","0,00","28,473"
11:26:07,"1,539","0,00","28,473"
11:26:08,"1,544","5,60","28,473"
11:26:09,"1,549","6,40","28,473"
11:26:10,"1,554","3,40","28,473"
11:26:11,"1,558","4,00","28,473"
11:26:12,"1,563","2,20","28,629"
11:26:13,"1,567","0,00","28,504"
11:26:14,"1,570","6,40","28,629"
11:26:15,"1,575","9,80","28,629"
,,"3,42","28,525"
