Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
10:49:56,"0,000","0,00","27,379"
10:49:57,"0,180","2,70","27,379"
10:49:58,"0,181","3,70","27,379"
10:49:59,"0,183","3,70","27,379"
10:50:00,"0,184","5,80","27,379"
10:50:01,"0,185","12,60","27,379"
10:50:02,"0,187","7,40","27,379"
10:50:03,"0,188","6,00","27,379"
10:50:04,"0,190","7,10","27,379"
10:50:05,"0,191","3,80","27,379"
10:50:06,"0,193","8,60","27,379"
10:50:07,"0,194","9,20","27,098"
10:50:08,"0,195","12,50","27,098"
10:50:09,"0,197","8,50","27,098"
10:50:10,"0,198","6,90","27,098"
10:50:11,"0,199","4,00","27,098"
10:50:12,"0,201","8,60","27,098"
10:50:13,"0,203","0,00","27,098"
10:50:14,"0,204","0,00","27,098"
10:50:15,"0,205","2,40","27,098"
10:50:16,"0,206","0,00","27,098"
10:50:17,"0,208","0,00","27,098"
10:50:18,"0,209","0,00","27,098"
10:50:19,"0,210","16,60","27,098"
10:50:20,"0,211","4,00","27,098"
10:50:21,"0,213","2,60","27,098"
10:50:22,"0,214","3,00","27,098"
10:50:23,"0,216","0,00","27,098"
10:50:24,"0,217","0,00","27,098"
10:50:25,"0,218","2,50","27,098"
10:50:26,"0,219","2,40","27,098"
10:50:27,"0,221","3,10","27,098"
10:50:28,"0,222","3,80","27,098"
10:50:29,"0,223","3,00","27,098"
10:50:30,"0,225","4,00","27,098"
10:50:31,"0,226","0,00","27,098"
10:50:32,"0,227","8,00","27,098"
10:50:33,"0,228","3,70","27,098"
10:50:34,"0,230","0,00","27,098"
10:50:35,"0,231","4,50","27,098"
10:50:36,"0,232","0,00","27,098"
10:50:37,"0,233","0,00","26,552"
10:50:38,"0,235","4,10","26,552"
10:50:39,"0,236","9,00","27,098"
10:50:40,"0,237","4,00","27,098"
10:50:41,"0,238","3,50","27,098"
10:50:42,"0,240","7,10","26,910"
10:50:43,"0,241","1,90","26,910"
10:50:44,"0,242","0,00","26,910"
10:50:45,"0,244","11,60","26,910"
10:50:46,"0,245","6,60","26,910"
10:50:47,"0,246","0,00","26,910"
10:50:48,"0,247","2,70","26,910"
10:50:49,"0,249","4,30","26,910"
10:50:50,"0,250","0,00","26,910"
10:50:51,"0,251","3,70","26,910"
10:50:52,"0,252","0,00","26,910"
10:50:53,"0,254","3,80","26,910"
10:50:54,"0,255","0,00","26,910"
10:50:55,"0,256","2,70","26,910"
10:50:56,"0,257","5,20","26,910"
10:50:57,"0,259","0,00","26,910"
10:50:58,"0,260","0,00","26,910"
10:50:59,"0,261","3,40","26,910"
10:51:00,"0,262","0,00","26,910"
10:51:01,"0,264","0,00","26,910"
10:51:02,"0,265","0,00","26,910"
10:51:03,"0,266","7,60","26,910"
10:51:04,"0,267","3,40","26,910"
10:51:05,"0,269","4,10","26,910"
10:51:06,"0,270","3,40","26,910"
10:51:07,"0,271","22,20","26,910"
10:51:08,"0,272","2,60","26,910"
10:51:09,"0,274","3,20","26,910"
10:51:10,"0,275","10,00","26,910"
10:51:11,"0,276","4,30","26,910"
10:51:12,"0,277","0,00","26,910"
10:51:13,"0,279","6,60","26,910"
10:51:14,"0,280","4,00","26,910"
10:51:15,"0,281","8,60","26,910"
10:51:16,"0,282","8,50","26,910"
10:51:17,"0,284","10,50","26,910"
10:51:18,"0,285","0,00","26,910"
10:51:19,"0,287","7,60","26,910"
10:51:20,"0,288","4,00","26,910"
10:51:21,"0,290","7,20","26,910"
10:51:22,"0,291","5,80","26,910"
10:51:23,"0,293","6,80","26,910"
10:51:24,"0,294","3,50","26,910"
10:51:25,"0,295","4,00","26,910"
10:51:26,"0,297","2,50","26,910"
10:51:27,"0,298","11,90","26,910"
10:51:28,"0,300","5,50","26,910"
10:51:29,"0,301","2,70","26,910"
10:51:30,"0,303","5,80","26,910"
10:51:31,"0,304","3,00","26,910"
10:51:32,"0,306","3,40","26,910"
10:51:33,"0,307","3,80","26,910"
10:51:34,"0,308","3,50","26,910"
10:51:35,"0,310","0,00","26,910"
10:51:36,"0,311","4,10","26,910"
10:51:37,"0,313","2,10","26,910"
10:51:38,"0,314","3,30","26,910"
10:51:39,"0,316","0,00","26,910"
10:51:40,"0,317","3,40","26,910"
10:51:41,"0,319","4,40","26,910"
10:51:42,"0,320","0,00","26,910"
10:51:43,"0,322","7,10","26,910"
10:51:44,"0,323","7,50","26,910"
10:51:45,"0,325","4,40","26,910"
10:51:46,"0,326","3,90","26,910"
10:51:47,"0,327","7,40","26,910"
10:51:48,"0,329","5,70","26,910"
10:51:49,"0,330","0,00","26,910"
10:51:50,"0,332","0,00","26,910"
10:51:51,"0,333","3,80","26,910"
10:51:52,"0,335","2,60","26,364"
10:51:53,"0,336","3,70","26,910"
10:51:54,"0,338","0,00","26,910"
10:51:55,"0,339","0,00","26,910"
10:51:56,"0,341","2,80","26,910"
10:51:57,"0,342","7,60","26,910"
10:51:58,"0,343","0,00","26,910"
10:51:59,"0,345","10,50","26,910"
10:52:00,"0,346","0,00","26,910"
10:52:01,"0,348","4,30","26,910"
10:52:02,"0,349","0,00","26,910"
10:52:03,"0,351","3,20","26,910"
10:52:04,"0,352","0,00","26,910"
10:52:05,"0,354","0,00","26,910"
10:52:06,"0,355","3,70","26,910"
10:52:07,"0,357","4,70","26,910"
10:52:08,"0,358","15,30","26,910"
10:52:09,"0,360","3,30","26,910"
10:52:10,"0,361","3,50","26,910"
10:52:11,"0,363","2,50","26,910"
10:52:12,"0,364","3,90","26,910"
10:52:13,"0,366","10,50","26,910"
10:52:14,"0,367","4,20","26,910"
10:52:15,"0,368","4,50","26,910"
10:52:16,"0,370","3,70","26,910"
10:52:17,"0,371","0,00","26,910"
10:52:18,"0,373","3,20","26,910"
10:52:19,"0,374","0,00","26,910"
10:52:20,"0,376","1,50","26,910"
10:52:21,"0,377","4,20","26,910"
10:52:22,"0,378","3,50","26,910"
10:52:23,"0,380","4,10","26,910"
10:52:24,"0,381","4,50","26,910"
10:52:25,"0,383","4,10","26,910"
10:52:26,"0,384","3,70","26,910"
10:52:27,"0,386","3,50","26,910"
10:52:28,"0,387","0,00","26,910"
10:52:29,"0,389","3,50","26,910"
10:52:30,"0,390","6,10","26,910"
10:52:31,"0,391","2,50","26,910"
10:52:32,"0,393","5,10","26,910"
10:52:33,"0,394","2,80","26,910"
10:52:34,"0,396","0,00","26,910"
10:52:35,"0,397","4,70","26,910"
10:52:36,"0,399","3,20","26,910"
10:52:37,"0,400","4,80","26,910"
10:52:38,"0,401","3,90","26,910"
10:52:39,"0,403","6,30","26,910"
10:52:40,"0,404","0,00","26,910"
10:52:41,"0,406","3,60","26,364"
10:52:42,"0,407","3,80","26,364"
10:52:43,"0,409","0,00","26,910"
10:52:44,"0,410","0,00","26,910"
10:52:45,"0,412","0,00","26,910"
10:52:46,"0,413","4,00","26,910"
10:52:47,"0,414","0,00","26,364"
10:52:48,"0,416","4,00","26,364"
10:52:49,"0,417","0,00","26,910"
10:52:50,"0,419","0,00","26,910"
10:52:51,"0,420","0,00","26,910"
10:52:52,"0,422","4,50","26,910"
10:52:53,"0,423","3,00","26,910"
10:52:54,"0,424","2,70","26,910"
10:52:55,"0,426","2,50","26,910"
10:52:56,"0,427","3,80","26,910"
10:52:57,"0,429","10,50","26,910"
10:52:57,"0,430","0,00","26,910"
