Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
11:53:55,"0,000","0,00","26,465"
11:53:56,"0,185","0,00","26,785"
11:53:57,"0,187","0,00","26,785"
11:53:58,"0,192","4,30","26,785"
11:53:59,"0,197","8,40","26,785"
11:54:00,"0,201","28,00","26,785"
11:54:01,"0,206","15,30","26,785"
11:54:02,"0,210","12,40","26,785"
11:54:03,"0,215","3,70","26,785"
11:54:04,"0,219","0,00","26,785"
11:54:05,"0,223","0,00","26,785"
11:54:06,"0,228","3,20","26,785"
11:54:07,"0,233","0,00","26,785"
11:54:08,"0,238","0,00","26,785"
11:54:09,"0,242","0,00","26,785"
11:54:10,"0,247","0,00","26,816"
11:54:11,"0,251","0,00","26,879"
11:54:12,"0,257","0,00","26,723"
11:54:13,"0,261","0,00","26,723"
11:54:14,"0,266","0,00","26,723"
11:54:15,"0,271","2,30","26,848"
11:54:16,"0,275","0,00","26,848"
11:54:17,"0,279","0,00","26,848"
11:54:18,"0,284","2,00","26,848"
11:54:19,"0,289","0,00","26,848"
11:54:20,"0,293","0,00","26,848"
11:54:21,"0,298","0,00","26,848"
11:54:22,"0,302","0,00","26,848"
11:54:23,"0,307","4,10","26,848"
11:54:24,"0,311","0,00","26,848"
11:54:25,"0,314","2,20","26,848"
11:54:26,"0,319","4,30","26,848"
11:54:27,"0,324","4,50","26,848"
11:54:28,"0,328","4,00","26,848"
11:54:29,"0,333","8,30","26,848"
11:54:30,"0,338","4,30","26,848"
11:54:31,"0,342","0,00","26,848"
11:54:32,"0,347","0,00","26,848"
11:54:32,"0,351","0,00","26,691"
11:54:33,"0,356","0,00","26,691"
11:54:34,"0,360","0,00","26,848"
11:54:36,"0,365","0,00","26,848"
11:54:37,"0,370","0,00","26,848"
11:54:37,"0,374","0,00","26,848"
11:54:39,"0,379","0,00","26,848"
11:54:40,"0,384","0,00","26,848"
11:54:40,"0,389","0,00","26,691"
11:54:41,"0,393","0,00","26,848"
11:54:42,"0,397","0,00","26,848"
11:54:43,"0,402","0,00","26,691"
11:54:44,"0,406","0,00","26,691"
11:54:45,"0,411","0,00","26,691"
11:54:46,"0,416","0,00","26,691"
11:54:47,"0,420","0,00","26,302"
11:54:48,"0,424","0,00","26,691"
11:54:49,"0,429","0,00","26,691"
11:54:51,"0,434","18,70","26,848"
11:54:52,"0,438","0,00","26,848"
11:54:53,"0,444","3,50","26,848"
11:54:54,"0,448","3,00","26,848"
11:54:55,"0,453","2,80","26,848"
11:54:56,"0,458","3,10","26,848"
11:54:57,"0,462","11,70","26,848"
11:54:58,"0,467","11,10","26,848"
11:54:59,"0,472","5,80","26,848"
11:55:00,"0,476","0,00","26,848"
11:55:01,"0,481","3,40","26,848"
11:55:02,"0,485","2,90","26,848"
11:55:03,"0,490","2,00","26,848"
11:55:04,"0,495","0,00","26,691"
11:55:05,"0,499","1,60","26,691"
11:55:05,"0,504","0,00","26,302"
11:55:07,"0,508","0,00","26,691"
11:55:07,"0,513","0,00","26,848"
11:55:08,"0,518","0,00","26,691"
11:55:09,"0,523","0,00","26,691"
11:55:10,"0,528","0,00","26,691"
11:55:11,"0,532","0,00","26,691"
11:55:12,"0,537","0,00","26,691"
11:55:13,"0,542","0,00","26,691"
11:55:14,"0,547","0,00","26,691"
11:55:15,"0,551","0,00","26,691"
11:55:16,"0,555","0,00","26,691"
11:55:17,"0,560","0,00","26,691"
11:55:18,"0,562","0,00","26,691"
11:55:19,"0,567","0,00","26,691"
11:55:20,"0,571","6,20","26,691"
11:55:21,"0,576","9,00","26,691"
11:55:22,"0,581","13,60","26,691"
11:55:23,"0,585","5,70","26,691"
11:55:24,"0,590","16,60","26,691"
11:55:25,"0,595","10,70","26,691"
11:55:26,"0,600","17,60","26,691"
11:55:27,"0,604","8,00","26,691"
11:55:28,"0,609","2,40","26,691"
11:55:29,"0,614","4,10","26,691"
11:55:30,"0,618","0,00","26,691"
11:55:31,"0,623","3,40","26,691"
11:55:32,"0,627","0,00","26,691"
11:55:33,"0,632","10,50","26,691"
11:55:34,"0,636","9,50","26,691"
11:55:35,"0,641","0,00","26,691"
11:55:36,"0,645","0,00","26,691"
11:55:37,"0,650","0,00","26,691"
11:55:38,"0,654","4,00","26,723"
11:55:39,"0,656","3,00","26,848"
11:55:40,"0,665","0,00","26,723"
11:55:41,"0,670","0,00","26,723"
11:55:42,"0,674","0,00","26,723"
11:55:43,"0,678","0,00","26,723"
11:55:44,"0,682","0,00","26,848"
11:55:45,"0,687","3,20","26,848"
11:55:46,"0,692","0,00","26,848"
11:55:47,"0,696","2,90","26,723"
11:55:48,"0,701","0,00","26,723"
11:55:49,"0,705","0,00","26,723"
11:55:50,"0,710","10,00","26,723"
11:55:51,"0,715","0,00","26,723"
11:55:52,"0,719","0,00","26,723"
11:55:53,"0,724","0,00","26,723"
11:55:54,"0,729","0,00","26,723"
11:55:55,"0,733","0,00","26,723"
11:55:56,"0,738","0,00","26,848"
11:55:57,"0,742","0,00","26,723"
11:55:58,"0,747","0,00","26,723"
11:55:59,"0,752","0,00","26,723"
11:56:00,"0,756","0,00","26,723"
11:56:01,"0,761","0,00","26,723"
11:56:02,"0,766","0,00","26,723"
11:56:03,"0,770","0,00","26,723"
11:56:04,"0,775","0,00","26,848"
11:56:05,"0,779","2,50","26,848"
11:56:06,"0,784","0,00","26,848"
11:56:07,"0,788","0,00","26,848"
11:56:08,"0,793","3,80","26,848"
11:56:09,"0,795","0,00","26,848"
11:56:10,"0,802","0,00","26,848"
11:56:11,"0,807","0,00","26,848"
11:56:12,"0,812","0,00","26,848"
11:56:13,"0,816","0,00","26,848"
11:56:14,"0,821","0,00","26,848"
11:56:15,"0,823","3,70","26,848"
11:56:16,"0,828","4,00","26,848"
11:56:17,"0,832","5,90","26,848"
11:56:18,"0,837","7,10","26,848"
11:56:19,"0,841","11,10","26,848"
11:56:20,"0,846","8,00","26,848"
11:56:21,"0,851","0,00","26,848"
11:56:22,"0,856","0,00","26,848"
11:56:23,"0,861","7,60","26,848"
11:56:24,"0,865","9,50","26,848"
11:56:25,"0,869","8,30","26,848"
11:56:26,"0,874","6,80","26,848"
11:56:27,"0,879","16,00","26,848"
11:56:28,"0,884","7,60","26,848"
11:56:29,"0,888","0,00","26,848"
11:56:30,"0,893","7,40","26,848"
11:56:31,"0,898","11,70","26,848"
11:56:32,"0,902","3,40","26,848"
11:56:33,"0,907","0,00","26,848"
11:56:34,"0,912","0,00","26,848"
11:56:35,"0,916","0,00","26,691"
11:56:36,"0,921","0,00","26,848"
11:56:37,"0,925","0,00","26,691"
11:56:38,"0,930","3,30","26,691"
11:56:39,"0,935","0,00","26,691"
11:56:40,"0,939","0,00","26,691"
11:56:41,"0,944","0,00","26,691"
11:56:41,"0,949","0,00","26,691"
11:56:42,"0,953","0,00","26,691"
11:56:43,"0,958","0,00","26,691"
11:56:45,"0,962","0,00","26,691"
11:56:46,"0,967","0,00","26,691"
11:56:46,"0,972","0,00","26,691"
11:56:47,"0,976","2,60","26,691"
11:56:48,"0,981","0,00","26,691"
11:56:49,"0,986","0,00","26,691"
11:56:50,"0,990","0,00","26,691"
11:56:51,"0,995","0,00","26,691"
11:56:52,"0,999","0,00","26,691"
11:56:54,"1,004","0,00","26,691"
11:56:55,"1,008","0,00","26,691"
11:56:55,"1,013","0,00","26,691"
11:56:56,"1,017","0,00","26,691"
11:56:57,"1,022","0,00","26,691"
11:56:58,"1,027","0,00","26,691"
11:56:59,"1,031","0,00","26,691"
11:57:00,"1,035","0,00","26,691"
11:57:01,"1,040","3,60","26,691"
11:57:02,"1,042","0,00","26,691"
11:57:03,"1,049","0,00","26,691"
11:57:04,"1,054","0,00","26,691"
11:57:05,"1,059","0,00","26,691"
11:57:06,"1,062","0,00","26,691"
11:57:07,"1,066","0,00","26,691"
11:57:08,"1,070","3,70","26,691"
11:57:09,"1,075","7,60","26,691"
11:57:10,"1,079","8,00","26,691"
