Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
12:48:47,"0,000","0,00","28,707"
12:48:48,"0,180","0,00","28,711"
12:48:48,"0,182","7,10","28,711"
12:48:49,"0,184","8,00","28,711"
12:48:50,"0,187","0,00","28,586"
12:48:51,"0,189","16,00","28,711"
12:48:52,"0,191","15,50","28,711"
12:48:53,"0,193","7,90","28,711"
12:48:54,"0,195","16,60","28,711"
12:48:55,"0,197","6,40","28,711"
12:48:56,"0,200","5,50","28,711"
12:48:57,"0,202","5,40","28,711"
12:48:58,"0,204","8,00","28,711"
12:48:59,"0,207","10,20","28,711"
12:49:00,"0,209","3,70","28,711"
12:49:01,"0,211","6,60","28,617"
12:49:02,"0,214","6,50","28,617"
12:49:03,"0,216","7,60","28,617"
12:49:04,"0,219","4,10","28,617"
12:49:05,"0,221","8,30","28,617"
12:49:06,"0,223","8,30","28,617"
12:49:07,"0,226","13,80","28,617"
12:49:08,"0,228","7,40","28,617"
12:49:09,"0,230","12,40","28,617"
12:49:10,"0,233","10,30","28,617"
12:49:11,"0,235","2,50","28,617"
12:49:12,"0,237","7,70","28,617"
12:49:13,"0,239","8,00","28,617"
12:49:14,"0,242","10,50","28,617"
12:49:15,"0,244","12,80","28,617"
12:49:16,"0,246","4,70","28,617"
12:49:17,"0,249","6,60","28,617"
12:49:18,"0,251","4,70","28,617"
12:49:19,"0,253","11,50","28,617"
12:49:20,"0,255","8,60","28,617"
12:49:21,"0,258","7,80","28,617"
12:49:22,"0,260","8,00","28,617"
12:49:23,"0,262","8,60","28,617"
12:49:24,"0,265","8,00","28,617"
12:49:25,"0,267","6,80","28,617"
12:49:26,"0,269","5,10","28,617"
12:49:27,"0,272","4,70","28,617"
12:49:28,"0,274","15,30","28,617"
12:49:29,"0,276","8,00","28,617"
12:49:31,"0,279","0,00","28,617"
12:49:32,"0,282","0,00","28,617"
12:49:33,"0,284","0,00","28,617"
12:49:33,"0,286","0,00","28,617"
12:49:35,"0,288","0,00","28,617"
12:49:35,"0,290","3,70","28,617"
12:49:36,"0,292","0,00","28,617"
12:49:37,"0,294","0,00","28,617"
12:49:38,"0,297","3,80","28,617"
12:49:39,"0,299","13,80","28,617"
12:49:40,"0,301","4,10","28,617"
12:49:41,"0,303","12,40","28,617"
12:49:42,"0,306","10,60","28,617"
12:49:43,"0,308","11,10","28,617"
12:49:44,"0,310","11,20","28,617"
12:49:45,"0,312","10,40","28,617"
12:49:46,"0,315","6,80","28,617"
12:49:47,"0,317","6,50","28,617"
12:49:48,"0,319","0,00","28,617"
12:49:49,"0,321","0,00","28,617"
12:49:50,"0,323","0,00","28,461"
12:49:51,"0,325","3,10","28,492"
12:49:52,"0,328","0,00","28,492"
12:49:53,"0,330","0,00","28,492"
12:49:54,"0,333","0,00","28,492"
12:49:55,"0,335","0,00","28,492"
12:49:56,"0,337","7,20","28,492"
12:49:57,"0,339","0,00","28,492"
12:49:58,"0,342","2,80","28,492"
12:49:59,"0,344","0,00","28,492"
12:50:00,"0,346","0,00","28,492"
12:50:01,"0,349","0,00","28,492"
12:50:02,"0,351","0,00","28,492"
12:50:03,"0,353","0,00","28,492"
12:50:04,"0,355","0,00","28,492"
12:50:05,"0,358","0,00","28,492"
12:50:06,"0,360","0,00","28,492"
12:50:07,"0,362","0,00","28,617"
12:50:08,"0,364","0,00","28,617"
12:50:09,"0,366","0,00","28,617"
12:50:10,"0,369","0,00","28,617"
12:50:11,"0,371","0,00","28,617"
12:50:12,"0,373","0,00","28,617"
12:50:13,"0,375","0,00","28,617"
12:50:14,"0,377","0,00","28,617"
12:50:15,"0,379","6,00","28,617"
12:50:16,"0,381","7,10","28,617"
12:50:17,"0,383","4,30","28,617"
12:50:18,"0,385","0,00","28,617"
12:50:19,"0,388","4,00","28,617"
12:50:20,"0,390","13,40","28,617"
12:50:21,"0,392","5,50","28,617"
12:50:22,"0,394","3,30","28,617"
12:50:23,"0,397","5,40","28,617"
12:50:24,"0,399","9,00","28,617"
12:50:25,"0,402","3,50","28,617"
12:50:26,"0,404","0,00","28,492"
12:50:27,"0,406","0,00","28,492"
12:50:28,"0,408","0,00","28,461"
12:50:29,"0,411","0,00","28,492"
12:50:30,"0,413","0,00","28,492"
12:50:31,"0,415","0,00","28,617"
12:50:32,"0,417","0,00","28,492"
12:50:33,"0,419","0,00","28,492"
12:50:34,"0,421","0,00","28,492"
12:50:35,"0,424","0,00","28,492"
12:50:36,"0,426","0,00","28,492"
12:50:37,"0,429","0,00","28,492"
12:50:38,"0,431","0,00","28,492"
12:50:39,"0,433","0,00","28,492"
12:50:40,"0,435","0,00","28,461"
12:50:41,"0,437","0,00","28,461"
12:50:42,"0,440","0,00","28,461"
12:50:43,"0,442","0,00","28,492"
12:50:44,"0,444","0,00","28,492"
12:50:45,"0,446","0,00","28,492"
12:50:46,"0,448","0,00","28,492"
12:50:47,"0,451","0,00","28,492"
12:50:48,"0,453","0,00","28,492"
12:50:49,"0,455","0,00","28,492"
12:50:50,"0,458","0,00","28,492"
12:50:51,"0,460","0,00","28,492"
12:50:52,"0,462","0,00","28,492"
12:50:53,"0,464","0,00","28,492"
12:50:54,"0,466","0,00","28,492"
12:50:55,"0,469","0,00","28,492"
12:50:56,"0,471","3,30","28,492"
12:50:57,"0,473","0,00","28,492"
12:50:58,"0,476","0,00","28,461"
12:50:59,"0,478","0,00","28,461"
12:51:00,"0,480","0,00","28,617"
12:51:01,"0,482","0,00","28,617"
12:51:02,"0,484","0,00","28,492"
12:51:03,"0,486","3,00","28,492"
12:51:04,"0,489","0,00","28,617"
12:51:05,"0,491","0,00","28,492"
12:51:06,"0,493","0,00","28,492"
12:51:07,"0,495","0,00","28,617"
12:51:08,"0,497","0,00","28,617"
12:51:09,"0,500","0,00","28,617"
12:51:10,"0,502","0,00","28,617"
12:51:11,"0,504","0,00","28,617"
12:51:12,"0,506","0,00","28,492"
12:51:13,"0,508","0,00","28,617"
12:51:14,"0,511","0,00","28,617"
12:51:15,"0,513","0,00","28,617"
12:51:16,"0,515","3,80","28,617"
12:51:17,"0,517","0,00","28,617"
12:51:18,"0,519","0,00","28,617"
12:51:19,"0,521","0,00","28,617"
12:51:20,"0,523","0,00","28,617"
12:51:21,"0,525","0,00","28,617"
12:51:22,"0,528","0,00","28,617"
12:51:23,"0,530","2,20","28,617"
12:51:24,"0,533","0,00","28,617"
12:51:25,"0,535","6,60","28,617"
12:51:26,"0,537","0,00","28,617"
12:51:27,"0,539","0,00","28,617"
12:51:28,"0,541","0,00","28,617"
12:51:29,"0,544","0,00","28,617"
12:51:30,"0,546","0,00","28,617"
12:51:31,"0,547","0,00","28,617"
12:51:32,"0,549","3,40","28,617"
12:51:32,"0,551","2,80","28,617"
12:51:33,"0,553","0,00","28,461"
12:51:34,"0,556","4,20","28,617"
12:51:35,"0,558","2,50","28,617"
12:51:36,"0,560","9,70","28,617"
12:51:37,"0,562","10,00","28,617"
12:51:38,"0,564","9,50","28,617"
