Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
11:35:08,"0,000","0,00","26,434"
11:35:09,"0,183","0,00","26,805"
11:35:10,"0,187","0,00","26,773"
11:35:11,"0,192","0,00","26,773"
11:35:12,"0,196","0,00","26,773"
11:35:13,"0,199","19,20","26,773"
11:35:14,"0,203","3,80","26,773"
11:35:15,"0,208","6,60","26,773"
11:35:16,"0,212","22,80","26,773"
11:35:17,"0,217","16,00","26,773"
11:35:18,"0,222","0,00","26,773"
11:35:19,"0,229","0,00","26,773"
11:35:20,"0,231","0,00","26,773"
11:35:21,"0,236","0,00","26,773"
11:35:22,"0,241","0,00","26,773"
11:35:23,"0,245","0,00","26,773"
11:35:24,"0,253","3,50","26,680"
11:35:25,"0,255","2,30","26,680"
11:35:26,"0,260","0,00","26,680"
11:35:27,"0,267","0,00","26,680"
11:35:28,"0,269","3,70","26,680"
11:35:29,"0,274","7,10","26,680"
11:35:30,"0,278","33,30","26,680"
11:35:31,"0,293","14,80","26,680"
11:35:32,"0,310","16,00","26,680"
11:35:33,"0,327","21,30","26,680"
11:35:34,"0,333","6,10","26,836"
11:35:35,"0,337","0,00","26,680"
11:35:36,"0,342","0,00","26,680"
11:35:37,"0,346","3,00","26,680"
11:35:38,"0,351","0,00","26,680"
11:35:39,"0,355","0,00","26,680"
11:35:40,"0,360","0,00","26,680"
11:35:41,"0,364","0,00","26,680"
11:35:42,"0,369","0,00","26,711"
11:35:43,"0,374","0,00","26,711"
11:35:44,"0,378","0,00","26,711"
11:35:45,"0,383","0,00","26,680"
11:35:46,"0,387","0,00","26,680"
11:35:47,"0,392","0,00","26,680"
11:35:48,"0,397","0,00","26,680"
11:35:49,"0,402","0,00","26,680"
11:35:50,"0,406","0,00","26,680"
11:35:51,"0,411","0,00","26,680"
11:35:52,"0,415","0,00","26,680"
11:35:53,"0,420","0,00","26,680"
11:35:54,"0,425","0,00","26,680"
11:35:55,"0,429","5,00","26,680"
11:35:56,"0,434","4,70","26,680"
11:35:57,"0,439","0,00","26,680"
11:35:58,"0,444","17,60","26,680"
11:35:59,"0,448","12,40","26,680"
