Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
12:38:38,"0,000","29,90","28,727"
12:38:39,"0,032","21,70","28,727"
12:38:39,"0,034","4,30","28,727"
12:38:41,"0,037","15,30","28,727"
12:38:41,"0,038","11,10","28,727"
12:38:42,"0,041","4,10","28,727"
12:38:43,"0,043","5,30","28,727"
12:38:44,"0,045","2,80","28,727"
12:38:45,"0,048","7,10","28,727"
12:38:46,"0,050","4,00","28,727"
12:38:47,"0,052","6,80","28,727"
12:38:48,"0,054","6,80","28,727"
12:38:49,"0,057","0,00","28,727"
12:38:50,"0,060","3,80","28,727"
12:38:51,"0,062","9,00","28,727"
12:38:52,"0,064","3,80","28,633"
12:38:53,"0,067","3,50","28,633"
12:38:54,"0,069","0,00","28,633"
12:38:55,"0,072","0,00","28,633"
12:38:56,"0,074","0,00","28,633"
12:38:57,"0,076","0,00","28,633"
12:38:58,"0,079","3,20","28,633"
12:38:59,"0,081","0,00","28,633"
12:39:00,"0,083","0,00","28,633"
12:39:01,"0,086","0,00","28,633"
12:39:02,"0,088","0,00","28,633"
12:39:03,"0,090","0,00","28,633"
12:39:04,"0,092","4,30","28,633"
12:39:05,"0,095","0,00","28,633"
12:39:06,"0,097","0,00","28,508"
12:39:07,"0,099","0,00","28,508"
12:39:08,"0,102","0,00","28,508"
12:39:09,"0,104","0,00","28,633"
12:39:10,"0,106","0,00","28,508"
12:39:11,"0,109","0,00","28,508"
12:39:12,"0,111","0,00","28,508"
12:39:13,"0,113","0,00","28,508"
12:39:14,"0,115","0,00","28,633"
12:39:15,"0,118","0,00","28,633"
12:39:16,"0,119","0,00","28,633"
12:39:17,"0,122","5,80","28,508"
12:39:18,"0,124","0,00","28,633"
12:39:19,"0,127","0,00","28,633"
12:39:20,"0,129","0,00","28,633"
12:39:21,"0,131","0,00","28,633"
12:39:22,"0,133","0,00","28,508"
12:39:23,"0,136","0,00","28,508"
12:39:24,"0,138","0,00","28,508"
12:39:25,"0,140","0,00","28,508"
12:39:26,"0,143","0,00","28,633"
12:39:27,"0,144","12,00","28,633"
12:39:28,"0,147","2,60","28,633"
12:39:29,"0,149","3,80","28,633"
12:39:30,"0,150","3,40","28,633"
12:39:31,"0,153","11,90","28,633"
12:39:32,"0,155","4,30","28,633"
12:39:33,"0,157","5,30","28,633"
12:39:34,"0,160","14,20","28,633"
12:39:35,"0,162","7,00","28,633"
12:39:36,"0,164","5,20","28,633"
12:39:37,"0,167","4,30","28,633"
12:39:38,"0,169","5,20","28,633"
12:39:39,"0,171","12,50","28,633"
12:39:40,"0,173","10,70","28,633"
12:39:41,"0,176","7,60","28,633"
12:39:42,"0,178","7,10","28,633"
12:39:43,"0,180","8,00","28,633"
12:39:44,"0,183","3,80","28,633"
12:39:45,"0,185","12,00","28,633"
12:39:46,"0,187","3,10","28,633"
12:39:47,"0,189","3,60","28,633"
12:39:48,"0,192","6,90","28,633"
12:39:49,"0,194","3,30","28,633"
12:39:50,"0,196","7,10","28,633"
12:39:51,"0,198","5,30","28,633"
12:39:52,"0,201","13,30","28,633"
12:39:53,"0,203","5,70","28,633"
12:39:54,"0,205","4,70","28,633"
12:39:55,"0,207","9,90","28,633"
12:39:56,"0,210","10,40","28,633"
12:39:57,"0,212","10,50","28,633"
12:39:58,"0,214","8,50","28,633"
12:39:59,"0,217","5,20","28,633"
12:40:00,"0,219","19,90","28,633"
12:40:01,"0,221","9,80","28,633"
12:40:02,"0,223","21,00","28,633"
12:40:03,"0,226","5,20","28,633"
12:40:04,"0,228","11,10","28,633"
12:40:05,"0,230","7,00","28,633"
12:40:06,"0,232","5,50","28,633"
12:40:07,"0,235","10,50","28,633"
12:40:08,"0,237","10,50","28,633"
12:40:09,"0,239","6,60","28,633"
12:40:10,"0,241","3,00","28,633"
12:40:11,"0,244","7,60","28,633"
12:40:12,"0,246","9,50","28,633"
12:40:13,"0,248","12,40","28,633"
12:40:14,"0,250","4,10","28,633"
12:40:15,"0,253","7,10","28,633"
12:40:16,"0,255","8,60","28,633"
12:40:17,"0,257","7,60","28,633"
12:40:18,"0,259","4,10","28,633"
12:40:19,"0,262","3,40","28,633"
12:40:20,"0,264","0,00","28,633"
12:40:21,"0,266","0,00","28,633"
12:40:22,"0,269","0,00","28,633"
12:40:23,"0,271","0,00","28,633"
12:40:24,"0,273","0,00","28,508"
12:40:25,"0,275","2,20","28,508"
