Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
17:17:50,"0,000","8,30","28,731"
17:17:51,"0,178","57,40","28,189"
17:17:51,"0,182","0,00","28,609"
17:17:52,"0,184","0,00","28,609"
17:17:53,"0,185","2,00","28,609"
17:17:54,"0,187","0,00","28,609"
17:17:55,"0,189","0,00","28,609"
17:17:56,"0,191","0,00","28,609"
17:17:57,"0,192","0,00","28,609"
17:17:58,"0,194","0,00","28,609"
17:17:59,"0,195","0,00","28,609"
17:18:00,"0,197","0,00","28,609"
17:18:01,"0,199","0,00","28,609"
17:18:02,"0,200","0,00","28,734"
17:18:03,"0,202","0,00","28,734"
17:18:04,"0,203","0,00","28,734"
17:18:05,"0,205","0,00","28,641"
17:18:06,"0,207","0,00","28,641"
17:18:07,"0,209","3,00","28,645"
17:18:08,"0,210","3,50","28,645"
17:18:09,"0,212","4,00","28,645"
17:18:10,"0,214","0,00","28,645"
17:18:11,"0,215","2,90","28,645"
17:18:12,"0,216","3,10","28,645"
17:18:13,"0,218","3,40","28,645"
17:18:14,"0,220","5,00","28,645"
17:18:15,"0,222","0,00","28,645"
17:18:16,"0,223","3,50","28,645"
17:18:17,"0,224","2,70","28,645"
17:18:18,"0,226","3,40","28,645"
17:18:19,"0,228","4,10","28,645"
17:18:20,"0,229","3,30","28,645"
17:18:21,"0,232","2,50","28,645"
17:18:22,"0,233","6,80","28,645"
17:18:23,"0,235","0,00","28,645"
17:18:24,"0,236","3,40","28,645"
17:18:25,"0,237","3,40","28,645"
17:18:26,"0,239","3,30","28,645"
17:18:27,"0,241","5,80","28,645"
17:18:28,"0,242","0,00","28,645"
17:18:29,"0,244","2,00","28,645"
17:18:30,"0,246","0,00","28,645"
17:18:31,"0,247","5,80","28,645"
17:18:32,"0,249","0,00","28,645"
17:18:33,"0,251","0,00","28,645"
17:18:34,"0,252","2,90","28,645"
17:18:35,"0,254","2,60","28,645"
17:18:36,"0,255","3,70","28,645"
17:18:37,"0,257","0,00","28,645"
17:18:38,"0,259","0,00","28,645"
17:18:39,"0,260","4,10","28,645"
17:18:40,"0,261","18,50","28,645"
17:18:41,"0,263","4,10","28,645"
17:18:42,"0,264","2,50","28,645"
17:18:43,"0,266","5,20","28,645"
17:18:44,"0,268","4,50","28,645"
17:18:45,"0,269","6,80","28,645"
17:18:46,"0,271","2,80","28,645"
17:18:47,"0,273","9,00","28,645"
17:18:48,"0,274","10,50","28,645"
17:18:49,"0,276","2,20","28,645"
17:18:50,"0,278","5,90","28,645"
17:18:51,"0,279","0,00","28,645"
17:18:52,"0,281","0,00","28,099"
17:18:53,"0,282","3,80","28,488"
17:18:54,"0,284","0,00","28,645"
17:18:55,"0,286","0,00","28,488"
17:18:56,"0,287","0,00","28,488"
17:18:57,"0,289","0,00","28,488"
17:18:58,"0,290","3,80","28,488"
17:18:59,"0,292","0,00","28,520"
17:19:00,"0,294","0,00","28,488"
17:19:01,"0,295","0,00","28,488"
17:19:02,"0,297","0,00","28,488"
17:19:03,"0,298","0,00","28,488"
17:19:04,"0,300","0,00","28,488"
17:19:05,"0,302","0,00","28,488"
17:19:06,"0,303","0,00","28,520"
17:19:07,"0,305","0,00","28,520"
17:19:08,"0,306","0,00","28,520"
17:19:09,"0,308","0,00","28,520"
17:19:10,"0,310","0,00","28,520"
17:19:11,"0,311","0,00","28,520"
17:19:12,"0,313","0,00","28,520"
17:19:13,"0,315","0,00","28,645"
17:19:14,"0,316","0,00","28,645"
17:19:15,"0,318","0,00","28,645"
17:19:16,"0,319","0,00","28,645"
17:19:17,"0,321","0,00","28,645"
17:19:18,"0,322","3,50","28,645"
17:19:19,"0,324","17,10","28,645"
17:19:20,"0,325","0,00","28,645"
17:19:21,"0,327","0,00","28,645"
17:19:22,"0,329","0,00","28,645"
17:19:23,"0,330","4,10","28,645"
17:19:24,"0,332","3,70","28,645"
17:19:25,"0,333","0,00","28,645"
17:19:26,"0,334","1,70","28,645"
17:19:27,"0,336","8,00","28,645"
17:19:28,"0,338","6,90","28,645"
17:19:29,"0,339","3,70","28,645"
17:19:30,"0,341","7,40","28,645"
17:19:31,"0,342","6,00","28,645"
17:19:32,"0,344","4,50","28,645"
17:19:33,"0,345","3,40","28,645"
17:19:34,"0,347","7,10","28,645"
17:19:35,"0,348","3,40","28,645"
17:19:36,"0,350","7,60","28,645"
17:19:37,"0,351","5,20","28,645"
17:19:38,"0,353","2,70","28,645"
17:19:39,"0,354","9,60","28,645"
17:19:40,"0,356","3,50","28,645"
17:19:41,"0,357","0,00","28,645"
17:19:42,"0,359","1,70","28,645"
17:19:43,"0,360","0,00","28,645"
17:19:44,"0,362","0,00","28,645"
17:19:45,"0,363","2,70","28,645"
17:19:46,"0,365","3,40","28,645"
17:19:47,"0,366","3,20","28,645"
17:19:48,"0,368","0,00","28,099"
17:19:49,"0,369","0,00","28,645"
17:19:50,"0,371","0,00","28,645"
17:19:51,"0,372","0,00","28,520"
17:19:52,"0,374","0,00","28,488"
17:19:53,"0,375","0,00","28,488"
17:19:54,"0,377","0,00","28,520"
17:19:55,"0,378","0,00","28,520"
17:19:56,"0,380","0,00","28,520"
17:19:57,"0,381","0,00","28,488"
17:19:58,"0,383","0,00","28,520"
17:19:59,"0,385","0,00","28,520"
17:20:00,"0,386","0,00","28,488"
17:20:01,"0,388","0,00","28,488"
17:20:02,"0,389","0,00","28,645"
17:20:02,"0,391","0,00","28,520"
17:20:03,"0,393","0,00","28,520"
17:20:04,"0,394","0,00","28,520"
17:20:05,"0,396","0,00","28,645"
17:20:06,"0,397","2,60","28,645"
17:20:07,"0,399","0,00","28,645"
17:20:08,"0,399","2,70","28,645"
17:20:09,"0,401","6,50","28,645"
17:20:10,"0,402","3,70","28,645"
17:20:11,"0,404","3,80","28,645"
17:20:12,"0,405","9,00","28,645"
17:20:13,"0,407","7,50","28,645"
17:20:14,"0,408","3,00","28,099"
17:20:15,"0,410","0,00","28,645"
17:20:16,"0,412","3,30","28,645"
17:20:17,"0,413","0,00","28,645"
17:20:18,"0,415","13,10","28,645"
17:20:19,"0,416","5,50","28,645"
17:20:20,"0,418","8,00","28,645"
17:20:21,"0,419","6,40","28,645"
17:20:22,"0,421","0,00","28,645"
17:20:23,"0,422","0,00","28,645"
17:20:24,"0,424","0,00","28,645"
17:20:25,"0,425","4,70","28,645"
17:20:26,"0,427","7,10","28,645"
17:20:27,"0,428","4,10","28,645"
17:20:28,"0,430","4,10","28,645"
17:20:29,"0,431","0,00","28,645"
17:20:30,"0,433","0,00","28,645"
17:20:31,"0,434","5,20","28,099"
17:20:32,"0,436","5,50","28,645"
17:20:33,"0,437","2,80","28,645"
17:20:34,"0,439","3,50","28,099"
17:20:35,"0,440","0,00","28,488"
17:20:36,"0,442","0,00","28,488"
17:20:37,"0,443","0,00","28,488"
17:20:38,"0,445","0,00","28,520"
17:20:39,"0,446","0,00","28,488"
17:20:40,"0,448","0,00","28,488"
17:20:41,"0,449","0,00","28,488"
17:20:42,"0,451","3,00","28,488"
17:20:43,"0,452","3,50","28,488"
17:20:44,"0,454","0,00","28,488"
17:20:45,"0,455","0,00","28,488"
17:20:46,"0,457","0,00","28,099"
17:20:47,"0,458","3,70","28,488"
17:20:48,"0,460","0,00","28,488"
17:20:49,"0,461","0,00","28,488"
17:20:50,"0,463","0,00","28,099"
17:20:51,"0,464","5,70","28,645"
17:20:52,"0,466","1,70","28,488"
17:20:53,"0,467","7,60","28,645"
17:20:54,"0,469","0,00","28,099"
17:20:55,"0,470","7,10","28,645"
17:20:56,"0,472","3,40","28,645"
17:20:57,"0,473","2,20","28,645"
17:20:58,"0,475","4,40","28,488"
17:20:59,"0,476","0,00","28,520"
17:21:00,"0,478","2,30","28,488"
17:21:01,"0,479","0,00","28,520"
17:21:02,"0,481","0,00","28,520"
17:21:03,"0,482","0,00","28,520"
17:21:04,"0,484","0,00","28,520"
17:21:05,"0,485","0,00","28,520"
17:21:06,"0,487","0,00","28,520"
17:21:07,"0,488","0,00","28,520"
17:21:08,"0,490","0,00","28,520"
17:21:09,"0,492","0,00","28,645"
17:21:10,"0,493","0,00","28,645"
17:21:11,"0,495","0,00","28,645"
17:21:12,"0,496","0,00","28,645"
17:21:13,"0,498","0,00","28,645"
17:21:14,"0,499","0,00","28,645"
17:21:15,"0,501","0,00","28,645"
17:21:16,"0,503","0,00","28,645"
17:21:17,"0,504","0,00","28,645"
17:21:18,"0,505","2,60","28,645"
17:21:19,"0,507","6,60","28,645"
17:21:20,"0,508","4,70","28,645"
17:21:21,"0,510","5,80","28,645"
17:21:22,"0,511","7,10","28,645"
17:21:23,"0,513","6,40","28,645"
17:21:24,"0,515","3,30","28,645"
17:21:25,"0,516","3,30","28,645"
17:21:26,"0,518","1,60","28,645"
17:21:27,"0,519","0,00","28,645"
17:21:28,"0,521","3,20","28,645"
17:21:29,"0,523","2,50","28,488"
17:21:30,"0,524","3,70","28,488"
17:21:31,"0,526","2,30","28,520"
17:21:32,"0,527","2,00","28,520"
17:21:33,"0,529","13,30","28,520"
