Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
23:51:32,"0,000","3,30","29,176"
23:51:33,"0,179","4,80","29,176"
23:51:34,"0,181","41,60","29,176"
23:51:34,"0,182","5,70","29,176"
23:51:35,"0,184","0,00","29,176"
23:51:36,"0,185","1,70","28,630"
23:51:37,"0,186","4,70","29,176"
23:51:39,"0,188","4,40","29,176"
23:51:40,"0,189","4,70","29,176"
23:51:40,"0,190","2,70","29,176"
23:51:41,"0,192","4,40","29,176"
23:51:42,"0,193","0,00","29,176"
23:51:43,"0,194","0,00","29,176"
23:51:45,"0,196","7,80","29,176"
23:51:46,"0,197","5,50","29,176"
23:51:46,"0,198","1,30","29,176"
23:51:47,"0,200","16,50","29,176"
23:51:48,"0,202","4,10","29,176"
23:51:49,"0,203","4,10","29,176"
23:51:50,"0,205","0,00","29,176"
23:51:51,"0,206","2,30","28,630"
23:51:52,"0,207","3,00","29,176"
23:51:53,"0,209","2,90","29,176"
23:51:54,"0,210","0,00","29,176"
23:51:55,"0,211","4,90","29,176"
23:51:56,"0,213","2,30","29,176"
23:51:57,"0,214","5,80","29,176"
23:51:58,"0,215","8,00","29,176"
23:51:59,"0,217","6,40","29,176"
23:52:00,"0,218","13,30","29,176"
23:52:01,"0,219","0,00","29,176"
23:52:02,"0,221","0,00","29,176"
23:52:03,"0,222","0,00","28,630"
23:52:04,"0,223","2,70","29,176"
23:52:05,"0,224","0,00","29,176"
23:52:06,"0,226","5,40","29,176"
23:52:07,"0,227","5,70","29,176"
23:52:08,"0,229","8,60","29,176"
23:52:09,"0,230","8,40","29,176"
23:52:10,"0,231","3,20","29,176"
23:52:11,"0,233","12,50","29,176"
23:52:12,"0,234","2,30","29,176"
23:52:13,"0,235","5,00","29,176"
23:52:14,"0,237","1,50","29,176"
23:52:15,"0,238","5,20","29,176"
23:52:16,"0,239","6,20","29,176"
23:52:17,"0,241","0,00","29,176"
23:52:18,"0,242","2,00","29,176"
23:52:19,"0,243","16,60","29,176"
23:52:20,"0,245","0,00","29,176"
23:52:21,"0,246","0,00","29,176"
23:52:22,"0,248","0,00","29,176"
23:52:23,"0,249","0,00","29,176"
23:52:24,"0,250","0,00","29,176"
23:52:25,"0,251","0,00","29,176"
23:52:26,"0,252","1,80","29,176"
23:52:27,"0,253","14,20","29,176"
23:52:28,"0,254","3,70","29,176"
23:52:29,"0,255","3,70","29,176"
23:52:30,"0,257","3,50","29,176"
23:52:31,"0,258","3,80","29,176"
23:52:32,"0,259","2,10","29,176"
23:52:33,"0,260","2,60","29,176"
23:52:34,"0,261","0,00","29,176"
23:52:35,"0,263","1,70","29,176"
23:52:36,"0,264","5,80","29,176"
23:52:37,"0,265","3,40","29,176"
23:52:38,"0,266","5,50","29,176"
23:52:39,"0,267","3,10","29,176"
23:52:40,"0,268","6,20","29,176"
23:52:41,"0,270","5,00","29,176"
23:52:42,"0,271","4,00","29,176"
23:52:43,"0,272","0,00","29,176"
23:52:44,"0,273","15,30","29,176"
23:52:45,"0,274","10,50","29,176"
23:52:46,"0,275","3,10","29,176"
23:52:47,"0,277","1,50","29,176"
23:52:48,"0,278","6,60","29,176"
23:52:49,"0,279","4,10","29,176"
23:52:50,"0,280","26,70","29,176"
23:52:51,"0,281","8,50","29,176"
23:52:52,"0,282","3,10","29,176"
23:52:53,"0,283","5,80","29,176"
23:52:54,"0,285","2,50","29,176"
23:52:55,"0,286","4,00","29,176"
23:52:56,"0,287","0,00","29,176"
23:52:57,"0,288","2,80","29,176"
23:52:58,"0,289","0,00","29,176"
23:52:59,"0,290","2,50","29,176"
23:53:00,"0,291","0,00","29,176"
23:53:01,"0,293","0,00","29,176"
23:53:02,"0,294","3,40","29,176"
23:53:03,"0,295","2,80","29,176"
23:53:04,"0,296","4,30","29,176"
23:53:05,"0,297","5,00","29,176"
23:53:06,"0,298","7,80","29,176"
23:53:07,"0,299","10,60","29,176"
23:53:08,"0,301","7,50","29,176"
23:53:09,"0,302","4,00","29,176"
23:53:10,"0,303","4,80","29,176"
23:53:11,"0,304","12,50","29,176"
23:53:12,"0,305","5,50","29,176"
23:53:13,"0,306","0,00","29,176"
