Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
23:41:09,"0,000","3,80","27,383"
23:41:10,"0,179","2,50","27,383"
23:41:11,"0,181","43,70","27,383"
23:41:12,"0,182","0,00","27,383"
23:41:13,"0,183","0,00","27,383"
23:41:14,"0,185","3,60","27,383"
23:41:14,"0,186","1,40","27,383"
23:41:15,"0,187","2,30","27,383"
23:41:16,"0,189","2,70","27,383"
23:41:17,"0,190","6,20","27,383"
23:41:18,"0,191","5,10","27,383"
23:41:19,"0,193","7,40","27,383"
23:41:20,"0,194","0,00","27,383"
23:41:21,"0,195","0,00","26,837"
23:41:22,"0,197","1,30","27,383"
23:41:23,"0,198","0,00","27,383"
23:41:24,"0,199","4,30","27,383"
23:41:25,"0,201","1,70","27,383"
23:41:26,"0,203","4,90","27,383"
23:41:27,"0,204","5,50","27,383"
23:41:28,"0,206","3,80","27,383"
23:41:29,"0,207","2,20","27,383"
23:41:30,"0,208","10,90","27,383"
23:41:31,"0,210","2,60","27,383"
23:41:32,"0,211","7,60","27,383"
23:41:33,"0,212","5,20","27,383"
23:41:34,"0,214","7,90","27,383"
23:41:35,"0,215","9,00","27,383"
23:41:36,"0,216","7,50","27,383"
23:41:37,"0,218","4,50","27,383"
23:41:38,"0,219","0,00","27,383"
23:41:39,"0,221","5,50","27,383"
23:41:40,"0,222","0,00","27,383"
23:41:41,"0,223","6,20","27,383"
23:41:42,"0,225","11,10","27,383"
23:41:43,"0,226","3,70","27,383"
23:41:44,"0,227","9,00","27,383"
23:41:45,"0,229","2,50","27,383"
23:41:46,"0,230","4,00","27,383"
23:41:47,"0,231","0,00","27,383"
23:41:48,"0,233","6,20","27,383"
23:41:49,"0,234","2,10","27,383"
23:41:50,"0,235","0,00","27,383"
23:41:51,"0,237","6,20","27,383"
23:41:52,"0,238","3,50","27,383"
23:41:53,"0,240","3,20","27,383"
23:41:54,"0,241","11,70","27,383"
23:41:55,"0,242","9,50","27,383"
23:41:56,"0,244","7,40","27,383"
23:41:57,"0,245","3,70","27,383"
23:41:58,"0,246","2,20","27,383"
23:41:59,"0,247","3,30","27,383"
23:42:00,"0,249","0,00","27,383"
23:42:01,"0,250","2,00","27,383"
23:42:02,"0,251","3,00","27,383"
23:42:03,"0,252","7,60","27,383"
23:42:04,"0,253","2,50","27,383"
23:42:05,"0,254","6,80","27,383"
23:42:06,"0,255","5,10","27,383"
