Tempo,TragefoRede(MB),CPU(%),Memoria(MB)
17:09:24,"0,000","0,00","26,598"
17:09:25,"0,003","2,50","26,598"
17:09:26,"0,005","0,00","26,566"
17:09:27,"0,008","0,00","26,598"
17:09:28,"0,010","0,00","26,598"
17:09:29,"0,013","3,70","26,598"
17:09:30,"0,015","2,90","26,598"
17:09:31,"0,018","0,00","26,598"
17:09:32,"0,020","0,00","26,723"
17:09:33,"0,023","0,00","26,723"
17:09:34,"0,025","0,00","26,723"
17:09:35,"0,027","0,00","26,723"
17:09:36,"0,030","0,00","26,723"
17:09:37,"0,032","0,00","26,723"
17:09:38,"0,035","0,00","26,723"
17:09:39,"0,037","4,00","26,629"
17:09:40,"0,040","2,80","26,629"
17:09:41,"0,042","7,40","26,629"
17:09:42,"0,045","7,60","26,629"
17:09:43,"0,047","6,80","26,629"
17:09:44,"0,050","2,70","26,629"
17:09:45,"0,053","7,40","26,629"
17:09:46,"0,055","3,70","26,629"
17:09:47,"0,058","7,40","26,629"
17:09:48,"0,060","3,80","26,629"
17:09:49,"0,063","0,00","26,629"
17:09:50,"0,065","2,60","26,629"
17:09:51,"0,068","0,00","26,629"
17:09:52,"0,070","3,40","26,629"
17:09:53,"0,073","0,00","26,629"
17:09:54,"0,075","0,00","26,629"
17:09:55,"0,078","0,00","26,504"
17:09:56,"0,080","0,00","26,629"
17:09:57,"0,083","0,00","26,504"
17:09:58,"0,085","0,00","26,629"
17:09:59,"0,088","0,00","26,504"
17:10:00,"0,090","2,70","26,473"
17:10:01,"0,093","0,00","26,504"
17:10:02,"0,095","0,00","26,504"
17:10:03,"0,098","0,00","26,629"
17:10:04,"0,101","0,00","26,504"
17:10:05,"0,103","0,00","26,504"
17:10:06,"0,105","0,00","26,629"
17:10:07,"0,108","0,00","26,504"
17:10:08,"0,111","0,00","26,504"
17:10:09,"0,113","0,00","26,504"
17:10:10,"0,116","0,00","26,504"
17:10:11,"0,118","0,00","26,504"
17:10:12,"0,121","0,00","26,629"
17:10:13,"0,123","0,00","26,629"
17:10:14,"0,126","0,00","26,629"
17:10:15,"0,128","0,00","26,629"
17:10:16,"0,130","0,00","26,629"
17:10:17,"0,133","4,00","26,629"
17:10:18,"0,134","0,00","26,629"
17:10:19,"0,136","0,00","26,629"
17:10:20,"0,139","4,10","26,629"
17:10:21,"0,141","5,30","26,629"
17:10:22,"0,144","5,40","26,629"
17:10:23,"0,146","5,50","26,629"
17:10:24,"0,149","6,80","26,629"
17:10:25,"0,151","0,00","26,629"
17:10:26,"0,154","0,00","26,629"
17:10:27,"0,156","0,00","26,083"
17:10:27,"0,159","0,00","26,504"
17:10:29,"0,162","0,00","26,504"
17:10:30,"0,164","0,00","26,473"
17:10:31,"0,167","0,00","26,473"
17:10:32,"0,169","0,00","26,083"
17:10:33,"0,171","0,00","26,473"
17:10:33,"0,174","0,00","26,504"
17:10:34,"0,177","0,00","26,504"
17:10:35,"0,179","0,00","26,504"
17:10:36,"0,181","3,50","26,504"
17:10:37,"0,184","0,00","26,504"
17:10:38,"0,186","0,00","26,504"
17:10:39,"0,189","0,00","26,629"
17:10:40,"0,191","0,00","26,629"
17:10:41,"0,194","0,00","26,629"
17:10:42,"0,196","0,00","26,504"
17:10:43,"0,198","0,00","26,629"
17:10:44,"0,201","0,00","26,629"
17:10:45,"0,203","0,00","26,629"
17:10:46,"0,206","0,00","26,629"
17:10:47,"0,208","2,20","26,629"
17:10:48,"0,211","5,70","26,629"
17:10:49,"0,213","0,00","26,629"
17:10:50,"0,215","0,00","26,629"
17:10:51,"0,218","3,70","26,629"
17:10:52,"0,220","3,90","26,629"
17:10:53,"0,222","4,70","26,629"
17:10:54,"0,224","0,00","26,629"
17:10:55,"0,226","0,00","26,629"
17:10:56,"0,229","0,00","26,629"
17:10:57,"0,231","8,40","26,629"
17:10:58,"0,234","3,60","26,629"
17:10:59,"0,236","2,30","26,629"
17:11:00,"0,239","3,70","26,629"
17:11:01,"0,241","2,80","26,629"
17:11:02,"0,243","4,70","26,629"
17:11:03,"0,246","4,50","26,629"
17:11:04,"0,248","4,30","26,629"
17:11:05,"0,251","7,60","26,629"
17:11:06,"0,253","7,50","26,629"
17:11:07,"0,255","4,30","26,629"
17:11:08,"0,258","0,00","26,629"
17:11:09,"0,260","0,00","26,629"
17:11:10,"0,263","0,00","26,473"
17:11:11,"0,265","0,00","26,504"
17:11:12,"0,268","0,00","26,504"
17:11:13,"0,270","0,00","26,473"
17:11:14,"0,272","0,00","26,504"
17:11:15,"0,275","0,00","26,504"
17:11:16,"0,277","0,00","26,504"
17:11:17,"0,280","2,90","26,504"
17:11:18,"0,282","4,10","26,629"
17:11:19,"0,285","0,00","26,473"
17:11:20,"0,287","2,90","26,504"
17:11:21,"0,289","0,00","26,504"
17:11:22,"0,292","0,00","26,504"
17:11:23,"0,294","0,00","26,504"
17:11:24,"0,297","0,00","26,504"
17:11:25,"0,299","0,00","26,504"
17:11:26,"0,302","0,00","26,504"
17:11:27,"0,304","3,80","26,504"
17:11:28,"0,307","0,00","26,504"
17:11:29,"0,310","0,00","26,629"
17:11:30,"0,312","0,00","26,629"
17:11:31,"0,315","0,00","26,629"
17:11:32,"0,317","0,00","26,629"
17:11:33,"0,319","0,00","26,629"
17:11:34,"0,322","0,00","26,629"
17:11:35,"0,325","0,00","26,629"
17:11:36,"0,327","0,00","26,629"
17:11:37,"0,330","0,00","26,504"
17:11:38,"0,332","3,80","26,629"
17:11:39,"0,335","0,00","26,629"
17:11:40,"0,337","0,00","26,629"
17:11:41,"0,340","0,00","26,629"
17:11:42,"0,342","0,00","26,629"
17:11:43,"0,345","4,20","26,629"
17:11:44,"0,347","0,00","26,629"
17:11:45,"0,350","0,00","26,629"
17:11:46,"0,352","3,80","26,629"
17:11:47,"0,354","4,30","26,629"
17:11:48,"0,357","7,10","26,629"
17:11:49,"0,359","2,50","26,629"
17:11:50,"0,362","0,00","26,629"
17:11:51,"0,364","4,70","26,629"
17:11:52,"0,367","0,00","26,629"
17:11:53,"0,370","2,00","26,629"
17:11:54,"0,372","0,00","26,083"
17:11:55,"0,375","0,00","26,629"
17:11:56,"0,377","0,00","26,473"
17:11:57,"0,380","0,00","26,473"
17:11:58,"0,382","5,90","26,629"
17:11:59,"0,385","0,00","26,629"
17:12:00,"0,387","3,20","26,629"
17:12:01,"0,390","0,00","26,473"
17:12:02,"0,393","0,00","26,504"
17:12:02,"0,395","0,00","26,504"
17:12:03,"0,398","0,00","26,504"
17:12:04,"0,401","0,00","26,629"
17:12:05,"0,403","0,00","26,629"
17:12:06,"0,406","0,00","26,504"
17:12:07,"0,408","0,00","26,629"
17:12:08,"0,411","0,00","26,504"
17:12:09,"0,413","0,00","26,629"
17:12:10,"0,416","0,00","26,629"
17:12:11,"0,418","6,40","26,629"
17:12:12,"0,421","0,00","26,629"
17:12:13,"0,423","3,70","26,629"
17:12:14,"0,425","0,00","26,629"
17:12:15,"0,428","4,10","26,629"
17:12:16,"0,431","3,90","26,629"
17:12:17,"0,433","0,00","26,629"
17:12:18,"0,435","0,00","26,629"
17:12:19,"0,438","3,50","26,629"
17:12:20,"0,440","4,50","26,629"
17:12:21,"0,443","0,00","26,629"
17:12:22,"0,445","4,00","26,629"
17:12:23,"0,448","3,30","26,629"
17:12:24,"0,450","4,00","26,629"
17:12:25,"0,453","4,30","26,629"
17:12:26,"0,455","6,60","26,629"
17:12:27,"0,457","6,90","26,629"
17:12:28,"0,460","8,00","26,629"
17:12:29,"0,462","4,70","26,629"
17:12:30,"0,465","0,00","26,629"
17:12:31,"0,467","5,80","26,473"
17:12:32,"0,470","0,00","26,629"
17:12:33,"0,472","3,50","26,629"
17:12:34,"0,475","3,00","26,504"
17:12:35,"0,477","3,10","26,629"
17:12:36,"0,480","0,00","26,083"
17:12:37,"0,483","0,00","26,473"
17:12:38,"0,486","2,90","26,629"
17:12:39,"0,489","5,50","26,629"
17:12:40,"0,491","4,20","26,629"
17:12:41,"0,494","0,00","26,629"
17:12:42,"0,497","0,00","26,473"
17:12:43,"0,501","0,00","26,629"
17:12:44,"0,503","0,00","26,629"
17:12:45,"0,506","0,00","26,083"
17:12:46,"0,508","0,00","26,504"
17:12:47,"0,511","3,80","26,504"
17:12:48,"0,513","3,70","26,473"
17:12:49,"0,516","3,40","26,504"
17:12:50,"0,519","0,00","26,504"
17:12:51,"0,521","0,00","26,504"
17:12:52,"0,524","0,00","26,473"
17:12:53,"0,527","0,00","26,473"
17:12:54,"0,529","0,00","26,504"
17:12:55,"0,532","0,00","26,473"
17:12:56,"0,534","3,70","26,473"
17:12:57,"0,537","0,00","26,473"
17:12:58,"0,539","0,00","26,473"
17:12:59,"0,542","3,00","26,473"
17:13:00,"0,545","2,40","26,473"
17:13:01,"0,547","0,00","26,473"
17:13:02,"0,550","0,00","26,473"
17:13:03,"0,553","0,00","26,473"
17:13:04,"0,555","3,00","26,473"
17:13:05,"0,558","4,00","26,473"
17:13:06,"0,561","2,70","26,473"
17:13:07,"0,563","0,00","26,504"
17:13:08,"0,566","0,00","26,473"
17:13:09,"0,568","4,20","26,473"
17:13:10,"0,571","0,00","26,473"
17:13:11,"0,573","0,00","26,504"
17:13:12,"0,576","0,00","26,504"
17:13:13,"0,578","3,20","26,504"
17:13:14,"0,581","4,00","26,504"
17:13:15,"0,583","0,00","26,504"
17:13:16,"0,586","0,00","26,504"
